"y" "Ntrials" "wildfire" "logging" "lichwood" "openlich" "deciduous" "water" "wetland" "meanelev" "node_matern" "node_CAR"
0 18 55.291 0 2.443 0.284 6.255 3.855 2.571 574.783 1708 1
0 22 19.674 0 4.095 2.112 0 33.829 20.307 445.902 1711 2
4 61 1.203 0 12.104 6.737 4.736 9.268 19.824 475.327 1712 3
2 95 0.07 0 19.856 10.767 3.835 3.961 15.32 501.668 1713 4
0 50 2.667 0 16.564 21.689 1.04 8.747 5.882 527.234 1714 5
1 17 0 1.291 0.008 0 2.235 5.397 2.18 602.246 1654 6
0 56 0.166 0 5.953 0.331 11.546 7.538 4.081 533.864 1655 7
0 93 5.099 0 3.43 4.185 6.038 11.485 2.145 521.245 1656 8
0 92 58.402 0 0.935 2.572 1.084 9.036 3.872 492.971 1657 9
0 44 61.591 0 0.958 1.514 0.713 4.895 1.638 541.105 1658 10
0 83 15.822 0 7.137 3.528 1.303 3.392 5.075 545.563 1659 11
0 100 35.623 0 6.977 1.862 2.048 2.127 20.759 501.052 1660 12
0 100 5.645 0 16.027 8.997 3.955 6.562 12.987 507.952 1661 13
3 100 0.295 0 19.078 16.666 4.671 6.532 11.84 501.777 1662 14
0 89 0 0 17.556 11.54 3.664 15.476 1.759 557.85 1663 15
0 25 0.1 42.332 0 0 0.079 12.082 1.15 554.859 1601 16
0 78 0.106 48.034 0 0 0.751 16.519 1.085 551.102 1602 17
5 100 0 3.8 2.348 0.907 3.331 31.264 0.938 487.622 1603 18
3 100 0 0.025 2.243 0.227 4.751 51.641 2.181 457.311 1604 19
2 100 0.447 0 6.405 1.116 2.715 9.514 3.553 495.781 1605 20
1 100 24.139 0 2.368 0.877 2.117 3.683 2.064 580.2 1606 21
0 100 15.844 0 0.964 2.799 4.293 2.62 1.233 635.345 1607 22
1 100 9.885 0 1.988 10.492 0.448 6.829 3.043 617.024 1608 23
2 100 5.249 0 12.971 4.389 2.898 6.525 7.088 563.153 1609 24
6 100 2.941 0 7.187 3.171 0.685 50.134 3.751 509.177 1610 25
1 100 0.384 0 7.344 15.753 3.712 31.843 5.896 518.267 1611 26
0 100 0.011 0 9.342 19.651 8.885 10.378 2.686 572.408 1612 27
0 30 0 0 3.89 13.875 2.714 7.467 6.806 616.06 1613 28
0 22 0 2.073 0 0 1.226 25.145 0.391 544.187 1550 29
2 100 1.005 0 0 0 3.265 65.149 0.089 454.771 1551 30
1 100 0.248 30.002 0.975 0.354 0.813 31.306 0.435 497.694 1552 31
0 100 0.435 41.456 3.665 3.466 0.865 5.634 2.25 538.716 1553 32
0 100 0.34 6.252 6.836 0 3.379 2.123 2.689 555.197 1554 33
0 100 0.239 0.988 4.55 0.133 10.641 3.864 1.192 573.481 1555 34
0 100 0 0.18 2.971 0.025 6.077 3.489 1.43 652.503 1556 35
0 100 0.042 0 3.23 0.283 0.908 4.294 2.053 638.34 1557 36
3 100 0.585 0 8.265 5.224 4 40.965 4.165 522.946 1558 37
4 100 0 0 4.825 0.735 0 68.582 4.485 495.626 1559 38
1 100 0 0 14.691 10.544 6.691 24.64 9.049 520.122 1560 39
4 100 0.297 0 12.307 14.953 7.275 7.724 4.008 578.86 1561 40
2 71 0.008 0 9.378 26.217 1.445 8.383 21.263 524.102 1562 41
0 82 0.895 33.006 3.175 2.686 4.757 19.465 2.051 459.626 1500 42
0 100 4.532 30.057 4.617 5.753 9.866 5.319 0.743 450.051 1501 43
0 100 2.785 59.923 2.752 0.983 3.57 3.126 0.756 475.009 1502 44
0 100 3.959 29.385 0.688 0.054 1.521 2.973 1.211 572.262 1503 45
0 100 4.713 2.42 5.096 0.314 4.729 6.681 1.517 577.535 1504 46
0 100 0.674 0.083 1.353 0.77 3.417 11.683 2.13 593.437 1505 47
0 100 0.364 0 14.034 6.616 3.064 6.372 3.077 573.582 1506 48
2 100 0 0 2.825 1.425 0.325 50.892 4.535 516.752 1507 49
2 100 0 0 9.449 5.268 1.274 46.882 11.327 504.579 1508 50
3 100 0 0 9.499 1.197 0 41.446 18.502 500.835 1509 51
0 100 0.458 0 14.202 11.014 1.375 20.925 16.928 512.748 1510 52
0 99 0.885 0 27.795 15.204 3.01 6.524 8.619 543.951 1511 53
0 13 3.551 0 9.704 32.238 0.52 7.966 5.028 593.084 1512 54
0 36 2.699 35.869 0.217 0.775 19.583 9.392 1.466 385.222 1442 55
0 16 0.885 67.823 0.059 0 5.444 9.082 1.399 455.493 1448 56
0 75 1.788 9 6.463 13.136 19.659 3.823 2.444 434.168 1449 57
0 100 9.272 0 5.101 13.792 23.647 3.294 1.832 443.012 1450 58
0 100 4.881 20.242 4.58 20.565 8.123 2.166 1.897 441.481 1451 59
0 100 3.31 23.133 2.733 10.328 9.936 1.989 1.2 540.907 1452 60
0 100 0.784 0.139 4.637 2.401 1.51 5.768 1.713 567.222 1453 61
0 100 0.074 0.391 9.25 2.033 2.588 7.521 1.29 566.179 1454 62
4 100 0.543 0 10.198 10.219 5.836 5.952 2.451 563.703 1455 63
3 100 0.457 0 6.195 6.494 4.596 31.086 1.547 528.34 1456 64
13 100 0.031 0.2 1.399 0.685 0 50.326 15.026 499.503 1457 65
0 100 0.233 0 7.968 4.12 0 22.373 19.107 515.399 1458 66
0 100 0.478 0 5.864 11.808 4.755 4.52 4.315 595.43 1459 67
0 100 0.815 0 0.057 2.251 4.01 2.707 1.95 636.962 1460 68
2 52 1.056 0 3.621 2.5 0.223 2.516 2.574 644.573 1461 69
