"row","col","x","y","ID","nsuccess","ntrials"
4,8,487500,7226500,74,0,10000
10,6,485500,7220500,60,0,10000
10,5,484500,7220500,50,0,9706
10,1,480500,7220500,10,8374,8374
8,1,480500,7222500,8,5814,8689
2,7,486500,7228500,62,0,10000
7,3,482500,7223500,27,0,10000
7,5,484500,7223500,47,0,10000
3,10,489500,7227500,93,0,9895
2,9,488500,7228500,82,0,10000
1,1,480500,7229500,1,9301,9427
10,7,486500,7220500,70,0,9646
6,2,481500,7224500,16,0,9916
2,2,481500,7228500,12,1075,9630
9,3,482500,7221500,29,0,9906
3,4,483500,7227500,33,5507,7178
6,5,484500,7224500,46,0,9961
9,10,489500,7221500,99,2418,9900
7,6,485500,7223500,57,270,9113
4,2,481500,7226500,14,3876,7938
6,8,487500,7224500,76,0,9711
5,8,487500,7225500,75,0,10000
8,3,482500,7222500,28,0,10000
1,3,482500,7229500,21,5086,9866
3,9,488500,7227500,83,0,10000
3,1,480500,7227500,3,7586,9375
1,9,488500,7229500,81,0,10000
8,10,489500,7222500,98,0,10000
9,1,480500,7221500,9,6378,6972
4,10,489500,7226500,94,0,9791
2,6,485500,7228500,52,2525,8862
10,8,487500,7220500,80,5305,9766
5,4,483500,7225500,35,0,9687
4,1,480500,7226500,4,6967,8471
7,10,489500,7223500,97,0,9937
1,6,485500,7229500,51,8452,8682
9,6,485500,7221500,59,0,9645
6,1,480500,7224500,6,0,9478
9,9,488500,7221500,89,5808,10000
3,3,482500,7227500,23,2967,7595
5,6,485500,7225500,55,4258,9632
8,7,486500,7222500,68,0,8636
9,2,481500,7221500,19,186,9342
8,8,487500,7222500,78,1415,10000
6,9,488500,7224500,86,0,9804
6,6,485500,7224500,56,1865,9767
5,2,481500,7225500,15,142,9994
5,7,486500,7225500,65,174,9987
2,5,484500,7228500,42,8624,8624
6,7,486500,7224500,66,1052,10000
6,10,489500,7224500,96,0,9559
5,3,482500,7225500,25,849,8227
4,5,484500,7226500,44,3367,9998
5,10,489500,7225500,95,0,9193
6,4,483500,7224500,36,0,10000
3,8,487500,7227500,73,0,10000
1,2,481500,7229500,11,3386,9986
4,4,483500,7226500,34,3477,8137
10,3,482500,7220500,30,815,9991
8,5,484500,7222500,48,0,9956
2,10,489500,7228500,92,0,10000
1,4,483500,7229500,31,9387,9387
3,6,485500,7227500,53,0,9949
4,7,486500,7226500,64,0,10000
5,9,488500,7225500,85,0,10000
7,7,486500,7223500,67,0,10000
9,8,487500,7221500,79,3492,9329
7,2,481500,7223500,17,0,9130
2,8,487500,7228500,72,0,10000
5,5,484500,7225500,45,1523,9498
8,6,485500,7222500,58,0,8750
9,7,486500,7221500,69,0,9921
8,9,488500,7222500,88,802,10000
3,7,486500,7227500,63,0,10000
4,9,488500,7226500,84,0,10000
3,5,484500,7227500,43,2479,8070
7,1,480500,7223500,7,0,9950
10,4,483500,7220500,40,0,9985
8,4,483500,7222500,38,0,10000
2,4,483500,7228500,32,7442,7985
1,10,489500,7229500,91,0,10000
1,8,487500,7229500,71,0,10000
10,2,481500,7220500,20,5510,8690
7,4,483500,7223500,37,0,10000
1,7,486500,7229500,61,1583,10000
9,4,483500,7221500,39,0,10000
3,2,481500,7227500,13,5437,9097
8,2,481500,7222500,18,0,8906
4,3,482500,7226500,24,755,6939
10,9,488500,7220500,90,5968,5990
4,6,485500,7226500,54,20,9958
1,5,484500,7229500,41,9651,9651
9,5,484500,7221500,49,0,10000
7,9,488500,7223500,87,0,9861
2,1,480500,7228500,2,6004,10000
2,3,482500,7228500,22,5779,9606
6,3,482500,7224500,26,0,9689
7,8,487500,7223500,77,0,9579
5,1,480500,7225500,5,1179,9575
